path,slug,name,category,description,keywords
/calculators/percentage-calculator,percentage-calculator,Percentage Calculator,calculators,"Work out percentages, increases, decreases and 'what percent of'.",percentage calculator; percent of a number; percentage increase; percentage difference; how to calculate percentage
/calculators/age-calculator,age-calculator,Age Calculator,calculators,"Find an exact age in years, months, days — and the next birthday.",age calculator; how old am i; date of birth calculator; age in days
/calculators/gpa-calculator,gpa-calculator,GPA Calculator,calculators,Add your courses and credits to get a weighted grade point average.,gpa calculator; grade point average; college gpa; semester gpa
/calculators/cgpa-calculator,cgpa-calculator,CGPA Calculator,calculators,Combine several semesters into one cumulative grade average.,cgpa calculator; cumulative gpa; overall gpa; cgpa to percentage
/calculators/grade-calculator,grade-calculator,Grade Calculator,calculators,Turn marks into a percentage and a letter grade.,grade calculator; marks to percentage; test score calculator; letter grade
/calculators/attendance-calculator,attendance-calculator,Attendance Calculator,calculators,See your attendance percentage and how many classes you still need.,attendance calculator; attendance percentage; how many classes can i miss; 75 percent attendance
/calculators/emi-calculator,emi-calculator,EMI Calculator,calculators,"Monthly instalment, total interest and a full repayment schedule.",emi calculator; equated monthly instalment; loan emi; monthly payment
/calculators/loan-calculator,loan-calculator,Loan Calculator,calculators,"Compare loan amounts, rates and terms with an amortisation table.",loan calculator; personal loan; car loan calculator; interest calculator
/calculators/mortgage-calculator,mortgage-calculator,Mortgage Calculator,calculators,"Home price, deposit, taxes and insurance in one monthly figure.",mortgage calculator; home loan calculator; monthly mortgage payment; piti
/calculators/compound-interest-calculator,compound-interest-calculator,Compound Interest Calculator,calculators,Project savings growth with regular contributions.,compound interest calculator; investment growth; savings calculator; future value
/calculators/bmi-calculator,bmi-calculator,BMI Calculator,calculators,"Body mass index in metric or imperial, with the healthy weight range.",bmi calculator; body mass index; healthy weight; bmi chart
/calculators/discount-calculator,discount-calculator,Discount Calculator,calculators,"Sale price, money saved, and stacked or reverse discounts.",discount calculator; sale price calculator; percent off; how much did i save
/calculators/tax-calculator,tax-calculator,Tax Calculator,calculators,"Add or remove sales tax, VAT or GST from any amount.",tax calculator; vat calculator; gst calculator; sales tax; add tax to price
/calculators/salary-calculator,salary-calculator,Salary Calculator,calculators,"Convert between hourly, weekly, monthly and yearly pay.",salary calculator; hourly to annual; pay converter; annual salary
/calculators/scientific-calculator,scientific-calculator,Scientific Calculator,calculators,"Trigonometry, logs, powers and parentheses with a full history.",scientific calculator; online calculator; trigonometry calculator; log calculator
/calculators/paint-coverage-calculator,paint-coverage-calculator,Paint and Wallpaper Calculator,calculators,"Work out how much paint or wallpaper a room needs, down to the tins to buy.",how much paint do i need calculator; paint calculator; wallpaper calculator; paint coverage calculator; how many rolls of wallpaper
